qid,question,answer,confidence,correct,gold_aliases
tc_149,In which decade did stereo records first go on sale?,1950s,60,0,"[""1930\u2019s"", ""Thirties"", ""1930s literature"", ""Nineteen-thirties"", ""1930\u20131939"", ""1930-1939"", ""'30s"", ""1930s"", ""1930's"", ""%6030s"", ""1930s (decade)"", ""The Thirties"", ""1930s""]"
tc_165,In what year's Olympics were electric timing devices and a public-address system used for the first time?,1932,60,0,"[""In 1912, in Stockholm"", ""In 1912, in Stockholm""]"
tc_217,Which volcano in Tanzania is the highest mountain in Africa?,Kilimanjaro,95,1,"[""Mawensi"", ""Mt. Kilimanjaro"", ""Kibo (volcano)"", ""Mount killimanjaro"", ""Highest mountain in Africa"", ""Kilimanjaro Massif"", ""Stella Point"", ""Kilimandjaro"", ""Kilimonjaro"", ""Kilimanjaro"", ""Gilman's Point"", ""Killimanjaro"", ""Kilima-Njaro"", ""Kiliminjaro"", ""Mt Kilimanjaro"", ""Kilimanjaro Mountain"", ""Mount Kilimanjaro"", ""Mawenzi"", ""Uhuru Peak"", ""Kilimanjiro"", ""Kaiser-Wilhelm-Spitze"", ""Mt Kilamanjaro"", ""Mount Kiliminjaro"", ""Mount Kilimandjaro"", ""Mount Kilamanjaro"", ""Tussock Grassland (Tanzania)"", ""Kilamanjaro"", ""Kilimanjaro""]"
tc_219,The flag of Libya is a plain rectangle of which color?,Green,95,1,"[""Greenishly"", ""Avacado (color)"", ""Green (color)"", ""Rgb(0, 255, 0)"", ""Greenishness"", ""The colour green"", ""Greenest"", ""List of terms associated with the color green"", ""The color green"", ""Green"", ""Pastel green"", ""(0, 255, 0)"", ""Green (colour)"", ""Greenness"", ""Green""]"
tc_241,Of which African country is Niamey the capital?,Niger,60,1,"[""Niger Republic"", ""Nigerois"", ""Republic Of Niger"", ""Republic of Niger"", ""The Republic of Niger"", ""Nigerien"", ""Niger (country)"", ""R\u00e9publique du Niger"", ""Republique du Niger"", ""ISO 3166-1:NE"", ""Niger"", ""NG-NI"", ""Niger""]"
tc_245,Who was the director of the CIA from 1976-81?,Stansfield Turner,60,0,"[""George Bush"", ""George bush"", ""Goerge Bush"", ""George W. Bush (disambiguation)"", ""GeorgeBush"", ""George Bushe"", ""Georgebush"", ""Georg bush"", ""G Bush"", ""George Bush, President"", ""George Bush (disambiguation)"", ""Bush, George"", ""Geroge Bush"", ""George Bush""]"
tc_261,Which musical featured the song The Street Where You Live?,My Fair Lady,90,1,"[""My Fair Lady (2010 film)"", ""Enry Iggins"", ""Why Can't the English%3F"", ""My Fair Lady"", ""My Fair Lady (upcoming film)"", ""My Fair Lady (musical)"", ""My fair lady"", ""I'm an Ordinary Man"", ""My Fair Lady (2014 film)"", ""My Fair Lady (2012 film)"", ""My Fair Lady (2015 film)"", ""My Fair Lady""]"
tc_267,"""Who was the target of the failed """"Bomb Plot"""" of 1944?""",Adolf Hitler,90,1,"[""Hitlerian"", ""Adolph Schicklgruber"", ""HitlerAdolf"", ""Hitler's medical health"", ""Adolf Hitle"", ""Hitlar"", ""Adolph Hiedler"", ""Adolf Hiedler"", ""Adolph Hittler"", ""Day of Potsdam"", ""Adolpf Hitler"", ""Adolf Hister"", ""Adolf Hitlier"", ""Adolph Hitler's health"", ""Hitler's health"", ""Hitlers"", ""Aldof Hilter"", ""HITLER"", ""Hitler, Adolph"", ""History of Adolf Hitler"", ""Hitler,Adolph"", ""Adolph Hiter"", ""Adolf Hittler"", ""Herr Hitler"", ""Hitler,Adolf"", ""Adolf Schicklegruber"", ""Adolf hitler"", ""Adlof hitler"", ""Adolph Schickelgruber"", ""Hitler Adolf"", ""Hitlers medical health"", ""HitlerAdolph"", ""Adolph Schicklegruber"", ""Adolf Hiler"", ""Adolf Hitler's medical condition"", ""Hittler"", ""Adolf Schickelgruber"", ""Adolf Hitler"", ""Hitler's"", ""Hitler, adolf"", ""Nazi leader"", ""Hitler, Adolf"", ""Herr Wolf"", ""Adolph Hitler's medical health"", ""Adolph Hitler"", ""Adolf Hitler's health"", ""Adolf Schicklgruber"", ""AdolphHitler"", ""Adolf Hilter"", ""Health of Adolf Hitler"", ""Adolf Hitler's medical health"", ""Hitler Adolph"", ""AdolfHitler"", ""Adolf HItler"", ""Hitlet"", ""Hitler adolf"", ""Adoff Hitler"", ""Adolfus Hitler"", ""Hitler"", ""Adolph hitler"", ""Hitler""]"
tc_276,Who had an 80s No 1 hit with Hold On To The Nights?,Richard Marx,60,1,"[""Richard Noel Marx"", ""Richard Marx"", ""Richard Marx""]"
tc_280,Who directed the classic 30s western Stagecoach?,John Ford,90,1,"[""John Ford (1895-1973)"", ""Sean O'Feeney"", ""John Ford (film director)"", ""Ford, John (1895-1973)"", ""Argosy Pictures"", ""John Ford statue"", ""John Martin O'Feeney"", ""John Ford (director)"", ""Cavalry trilogy"", ""John O'Feeney"", ""Sean Aloysius O'Feeney"", ""Ford, John"", ""John Ford"", ""John Ford""]"
tc_282,Dave Gilmore and Roger Waters were in which rock group?,Pink Floyd,95,1,"[""Grey Floyd"", ""Pink Floyd trivia"", ""The Screaming Ab Dabs"", ""Pink flowd"", ""The Meggadeaths"", ""The Architectural Abdabs"", ""PINK FLOYD"", ""Pink Flod"", ""Pink Floyd"", ""Pink Floyd Trivia"", ""The Pink Floyd"", ""Notable or frequent contributors to pink floyd"", ""The Tea Set"", ""Pinkfloyd"", ""Pi5"", ""Pink floid"", ""Pink Floyd (band)"", ""The T Set"", ""Screaming abdabs"", ""Notable or frequent contributors to Pink Floyd"", ""The Megadeaths"", ""Pik floyd"", ""The Pink Floyd Sound"", ""Pink floyd"", ""The T-Set"", ""The Screaming Abdabs"", ""Clive Metcalfe"", ""Meggadeaths"", ""Pink Floyd""]"
tc_288,Which highway was Revisited in a classic 60s album by Bob Dylan?,Highway 61,90,1,"[""61"", ""sixty-one"", ""61""]"
tc_298,Which was the only eastern bloc country to participate in the 1984 LA Olympics?,Romania,60,1,"[""ISO 3166-1:RO"", ""Romanian state"", ""ROMANIA"", ""Roumania"", ""Etymology of Romania"", ""Romainia"", ""Rom\u00eenia"", ""North Danubian region"", ""Carpathian Danubian space"", ""ROU"", ""Rom\u00e2nia"", ""Romanian State"", ""Roumanie"", ""Country ROM"", ""Rromania"", ""Romania"", ""Republic of Romania"", ""RO (country)"", ""Rum\u00e4nien"", ""Danubian-Carpathian Area"", ""Rumania"", ""Austro-Hungarian Empire (Romania)"", ""Rumunia"", ""Rumania""]"
tc_304,Which 90s sci fi series with James Belushi was based on Bruce Wagner's comic strip of the same name?,According to Jim,60,0,"[""Wild Palms"", ""Wild Palms""]"
tc_316,If I Were A Rich Man Was a big hit from which stage show?,Fiddler on the Roof,90,1,"[""Fiddler on a Roof"", ""Fiddler on the roof"", ""Sprintze"", ""Fiddler On the Roof"", ""2 life"", ""Fiddler On The Roof"", ""The Fiddler on the Roof"", ""Fiddler on the Roof"", ""Fiddler on the reoof"", ""Anatevka"", ""Fiddler on the Roof""]"
tc_349,Men Against the Sea and Pitcairn's Island were two sequels to what famous novel?,Mutiny on the Bounty,60,1,"[""HMS Bounty mutineers"", ""Mutiny on the Bounty"", ""Mutiny on Bounty"", ""Mutiny On The Bounty"", ""Mutiny on the Bounty (history)"", ""Mutiny on the bounty"", ""Bounty (vessel)"", ""Thomas Ledward"", ""Mutiny On The Bounty""]"
tc_379,What was Truman Capote's last name before he was adopted by his stepfather?,Persons,60,1,"[""Per\u017fons"", ""Person"", ""Person (philosophical)"", ""Personhood Theory"", ""Persons"", ""Per\u017fon"", ""A person"", ""Personhood theory"", ""Persons""]"
tc_397,"In Lewis Carroll's poem The Hunting of the Snark, what did the elusive, troublesome snark turn into to fool hunters?",A Boojum,60,1,"[""Boojum (disambiguation)"", ""A boojum"", ""Boojum"", ""A boojum""]"
tc_453,"In the Bible, who did the sun and moon stand still before?",Joshua,95,1,"[""Joshua of ephraim"", ""Y'hosheya"", ""Yehoshea"", ""Yahushua"", ""Yoshea"", ""Yehoshua%60"", ""Y\u016bsha"", ""Yhoshoa"", ""Joshua bin Nun"", ""Joshua Ben Nun"", ""Yehosha"", ""Jehoshua"", ""Yahusha"", ""Yhoshua"", ""Joshua Bin-Nun"", ""Yhoshua Ben Nun"", ""Yoshia"", ""Yehoshua Ben Nun"", ""Y'hoshiya"", ""Yhoshea"", ""Y'hoshea"", ""Yhosheya"", ""Yoshoa"", ""Joshua ben Nun"", ""Josue"", ""Yhoshia"", ""Y'hoshua"", ""Yhosha"", ""Yusha'"", ""Yhoshiya"", ""Y'hoshia"", ""Joshua's Prayer"", ""Ieshua"", ""Y'hoshoa"", ""Yoshua"", ""Y'hosha"", ""Joshuah"", ""\u064a\u0648\u0634\u0639"", ""Joshua"", ""Yehoshia"", ""Jesus Navin"", ""Joshua in Islam"", ""Joshua's conquests"", ""Yosheya"", ""Joshua son of Nun"", ""Yehoshoa"", ""Yehoshiya"", ""Y\u0115h\u014dsh\u016ba\u2018"", ""Yehosheya"", ""Yosha"", ""Jehoshuah"", ""\u05d9\u05b0\u05d4\u05d5\u05b9\u05e9\u05bb\u05c1\u05e2\u05b7"", ""Joshua""]"
tc_455,What Michelle Pfeiffer movie got a boost from the Coolio song Gangsta's Paradise?,Dangerous Minds,60,1,"[""Dangerous Minds (film)"", ""My Posse Don't Do Homework"", ""Dangerous Minds"", ""Dangerous Minds""]"
tc_510,What was President Gerald Ford's middle name?,Rudolph,60,1,"[""Rudolph (disambiguation)"", ""Rudolph"", ""Rudolf"", ""Rodolph"", ""Rodolphe"", ""Rudolph""]"
tc_515,Art Garfunkel trained for which profession although he didn't qualify?,Mathematics,60,0,"[""Master Builder (occupation)"", ""Master builder (occupation)"", ""Registered Architect"", ""Architects"", ""Architecht"", ""Architect"", ""HOK Canada, Inc."", ""Stanford Downey Architects Inc."", ""Graziani + Corazza"", ""Architechts"", ""Clifford & Lawrie"", ""Architect""]"
tc_517,Who was the last inmate of Spandau jail in Berlin?,Rudolf Hess,95,1,"[""Hess, Rudolf"", ""Rudolf hess"", ""Rudolf W. Hess"", ""Rudolph Hess"", ""Walther Richard Rudolf Hess"", ""Rudolf Walter Richard Hess"", ""Rudolf Hess"", ""Rudolf Walter Richard He\u00df"", ""Rudolph He\u00df"", ""Rudolf He\u00df"", ""Rudolf Hesse"", ""Rudolf Hess""]"
tc_518,What was Eddie Murphy's first movie?,48 Hrs.,60,0,"[""48 time"", ""48 Hours"", ""forty-eight  time"", ""48 Hours""]"
tc_538,In the 80s who wrote the novel Empire of The Sun?,J.G. Ballard,60,1,"[""JG Ballard"", ""J.G. Ballard"", ""James Graham Ballard"", ""J. G. Ballard"", ""J.G.Ballard"", ""Jg ballard"", ""A User's Guide to the Millenium"", ""J G Ballard"", ""Ballardian"", ""James G. Ballard"", ""J. G. Ballard""]"
tc_540,Kagoshima international airport is in which country?,Japan,95,1,"[""\u65e5\u672c\u570b"", ""State of Japan"", ""Ja-pan"", ""Nihon"", ""Nippon"", ""Japang"", ""Modern\u2013era Japan"", ""Etymology of Japan"", ""Japan (country)"", ""Republic of Japan"", ""Japanese financial sector"", ""Nihon-koku"", ""ISO 3166-1:JP"", ""\u65e5\u672c"", ""Japian"", ""Japan"", ""JapaN"", ""The State of Japan"", ""Riben"", ""Nippon-koku"", ""JPN"", ""Jpan"", ""R\u00ecb\u011bn"", ""\u65e5\u672c\u56fd"", ""Japao"", ""JAPAN"", ""Japoa"", ""\ud83d\uddfe"", ""Japan""]"
tc_543,In which sport could the Pacers take on the Pistons?,Basketball,95,1,"[""Basketball"", ""Basketball gear"", ""Bball"", ""Boy's Basketball"", ""B Ball"", ""Shoot hoops"", ""Basketball parity worldwide"", ""Men's Basketball"", ""High school basketball"", ""Basketball Worldwide"", ""Basketball club"", ""B-ball"", ""Basket-ball"", ""Basketball team"", ""\ud83c\udfc0"", ""Basketball rim"", ""Basketballer"", ""Rim (basketball)"", ""Basket ball"", ""Basketball net"", ""Baksetball"", ""Basketball player"", ""Basket-Ball"", ""A: Basketball"", ""Women's hoops"", ""Men's basketball"", ""BasketBall"", ""Basketball Parity Worldwide"", ""Basket Ball"", ""Baketball"", ""Basketball Player"", ""B ball"", ""Unicycle basketball"", ""A: Basketball""]"
tc_559,Kim Carnes' nine weeks at No 1 with Bette Davis Eyes was interrupted for one week by which song?,I don't know,10,0,"[""Stars on 45 (Single)"", ""Stars On 45 Medley"", ""Stars on 45 medley"", ""Stars on 45 (song)"", ""Stars on 45 Medley"", ""Medley: Intro Venus / Sugar Sugar / No Reply / I'll Be Back / Drive My Car / Do You Want to Know a Secret / We Can Work It Out / I Should Have Known Better / Nowhere Man / You're Going to Lose That Girl / Stars on 45"", ""Stars on 45 medley""]"
tc_561,Where in Canada is the Lion's Gate bridge?,Vancouver,95,1,"[""Vancouver, Canada"", ""Vancouver (Canada)"", ""Corpus Christi Elementary School (Canada)"", ""UN/LOCODE:CAVAN"", ""Vancouver, British Columbia, Canada"", ""Vancouver, BC, Canada"", ""Vancouver, British-Columbia"", ""Vancouver, B.C., Canada"", ""Vancouver"", ""Vancouver, British Colombia"", ""Vancover, British Columbia"", ""Vansterdam"", ""Vancouver (BC)"", ""Hastings East (Vancouver)"", ""Vancouver British Columbia"", ""Vancouver Canada"", ""City of Vancouver"", ""Vancouver, BC"", ""Vancouver (B.C.)"", ""Vancouver City Centre, British Columbia"", ""Vancouver, B.C."", ""South Vancouver, British Columbia"", ""Vancouverite"", ""Vancouver, British Columbia"", ""Vancouver Christian School"", ""Vancouvr"", ""Hong kouver"", ""Vancouverites"", ""Hongcouver"", ""Vancouver, bc"", ""Corpus Christi Elementary"", ""Hong couver"", ""Greater Vancouver Bridges"", ""Vancover"", ""Vanocuver"", ""Vancouver BC"", ""Vancouver""]"
tc_564,What was Walter Matthau's first movie?,The Kentuckian,60,1,"[""The Kentuckian"", ""The Kentuckian""]"
tc_585,Otis Barton was a pioneer in exploring where?,The ocean,60,0,"[""Underwater"", ""Under water"", ""Underwater life"", ""Undersea"", ""Underwater""]"
tc_586,Where in England was actor Nigel Hawthorne born?,Coventry,60,1,"[""Cofantre"", ""Coventry (city)"", ""Coventry, Warwickshire"", ""Coventry"", ""Coventry, UK"", ""Coventry, England"", ""City of Coventry"", ""COVENTRY"", ""County Borough of Coventry"", ""Coventry (borough)"", ""Coventry City council"", ""Coventry, United Kingdom"", ""Metropolitan Borough of Coventry"", ""Coventry""]"
tc_596,"What mythological beast has the head of a man, the body of a lion, and the tail and feet of a dragon?",Chimera,95,0,"[""A manticore"", ""The Manticore"", ""A manticore""]"
tc_604,"In Greek mythology, who were Arges, Brontes and Steropes?",Cyclopes,60,1,"[""Cyclopes (disambiguation)"", ""Cyclopes"", ""Cyclopes""]"
tc_626,Which musician founded the Red Hot Peppers?,I don't know,10,0,"[""Ferdinand Joseph La Menthe"", ""Louise Monette"", ""Ferdinand Morton"", ""Ferdinand %22Jelly Roll%22 Morton"", ""F.P. Lamothe"", ""Ferdinand Lamothe"", ""Jellyroll Morton"", ""Ferdinand Joseph Morton"", ""Joseph Ferdinand Morton"", ""Ferdinand Joseph Lamothe"", ""Jelly-Roll Morton"", ""Jelly Roll Morton"", ""Jelly Roll Morton""]"
tc_635,Where did the Shinning Path terrorists operate?,Peru,60,1,"[""Lower Peru"", ""Name of Peru"", ""Republic of Peru"", ""Etymology of Peru"", ""ISO 3166-1:PE"", ""Piruw"", ""Peruano"", ""Rep\u00fablica del Per\u00fa"", ""El Per\u00fa"", ""Republic of Per\u00fa"", ""Peruvian Republic"", ""Peru"", ""Peruvian"", ""P\u00e9ru"", ""Piruw Ripuwlika"", ""El Peru"", ""Per\u00fa"", ""Per\u00f9"", ""Piruw Suyu"", ""P\u00e9rou"", ""Peruvia"", ""Peru""]"
tc_653,How old was Jimi Hendrix when he died?,27,95,1,"[""27"", ""twenty-seven"", ""27""]"
tc_657,Which Brit broke the land speed record in 1990 in Thrust 2?,Richard Noble,60,1,"[""Richard Noble"", ""Richard Noble""]"
tc_664,In which state was Gene Vincent born?,Virginia,60,1,"[""US-VA"", ""State of Virginia"", ""Virginia, USA"", ""Tenth State"", ""Religion in Virginia"", ""Virginia (USA state)"", ""Virginia (state)"", ""Commonwealth of VA"", ""Rest of Virginia"", ""Virginia"", ""Mother of Presidents"", ""Virginia (USA State)"", ""The Old Dominion"", ""VA (state)"", ""Commonwealth of Virginia"", ""Virginian Commonwealth"", ""The Mother of Presidents"", ""Virginia, United States"", ""Council of Virginia"", ""Sports in Virginia"", ""Viginia"", ""Virginia (U.S. state)"", ""10th State"", ""Virgina"", ""The Commonwealth of Virginia"", ""VA, USA"", ""Virginia (State)"", ""Virginia""]"
tc_665,How was the European Recovery Program in the 1940s more commonly known?,The Marshall Plan,90,1,"[""European Recovery Programme"", ""The marshal plan"", ""Marshall Aid"", ""European Recovery Program"", ""Marshall Paln"", ""The Marshall Plan"", ""European recovery act"", ""Marshall aid"", ""Marshall Plan"", ""Marshal plan"", ""Organization for European Economic Recovery"", ""Minist\u00e8re de la Reconstruction"", ""Marshall aid plan"", ""Economic Cooperation Act of 1948"", ""Marshall plan"", ""Operation Rathole"", ""Marshall Plan""]"
tc_672,Brandon Lee died during the making of which movie?,The Crow,90,1,"[""The Crow: Dead Time"", ""The Crow (2016 film)"", ""The Crow"", ""The Crow""]"
tc_678,Who had a 70s No 1 hit with Let's Do It Again?,The Staple Singers,60,1,"[""The Staple Singers"", ""Staple Singers"", ""The Staples Singers"", ""Staples Singers"", ""Cleotha Staples"", ""The Staple Singers""]"
tc_687,Who had a Too Legit To Quit Tour?,MC Hammer,90,1,"[""M. C. Hammer"", ""Hammer (rapper)"", ""Family Affair(MC Hammer album)"", ""Mc Hammer"", ""Too Tight(MC Hammer album)"", ""Stanley Burrell"", ""Stanley Kirk Burrell"", ""M c hammer"", ""Mchammer"", ""You Shouldn't Touch This"", ""Mc hammer"", ""M.C. Hammer"", ""Family Affair (MC Hammer album)"", ""McHammer"", ""MC Hammer"", ""Stanley K. Burrell"", ""Wiredoo"", ""WireDoo"", ""The hammer crew"", ""Too Tight (MC Hammer album)"", ""MC Hammer""]"
tc_690,"""According to Rudyard Kipling what were the """"two imposters"""" to meet and treat the same day?""",Triumph and disaster,90,1,"[""Triumph and Disaster"", ""Triumph and Disaster""]"
tc_691,Who is the most successful UK solo artist in the USA?,Elton John,95,1,"[""Sir Elton"", ""Rockaday Johnny"", ""Elthon John"", ""Eltonjohn"", ""List of Elton John awards"", ""John, Elton"", ""Reggie Dwight"", ""Lord Choc Ice"", ""Redget Buntovan"", ""Elton John's discography"", ""Elton john discography"", ""Reginald K. Dwight"", ""Elton John"", ""Mrs. Elton John"", ""Lady Choc Ice"", ""Reg Kenneth Dwight"", ""Renate Blauel"", ""Reginald Kenneth Dwight"", ""Ann Orson"", ""Reg Dwight"", ""Elton John Band"", ""Reginald Dwight"", ""Sir John Elton"", ""Elton john"", ""Elton John Discography"", ""Reginald Kenneth"", ""Elton Hercules John"", ""Sir Elton Hercules John CBE"", ""Elton H. John"", ""Nancy Treadlight"", ""Reginald kenneth dwight"", ""Reginald dwight"", ""Sir Elton John"", ""Kenneth Dwight"", ""Elton John""]"
tc_704,Which country does the airline TAAG come from?,Angola,60,1,"[""Angola"", ""Angloa"", ""Etymology of Angola"", ""Republic of Angola"", ""Sport in Angola"", ""The Republic of Angola"", ""ISO 3166-1:AO"", ""Angola""]"
tc_715,Which US No 1 single came from Diana Ross's platinum album Diana?,I'm Coming Out,60,0,"[""Upside Down (Diana Ross song)"", ""Up side down"", ""Upside Down"", ""Upside Down (single)"", ""Upside Down""]"
tc_719,River Phoenix died during the making of which movie?,Dark Blood,60,1,"[""Dark Blood (film)"", ""Dark Blood"", ""Dark Blood""]"
tc_723,Which artist David was born in Bradford UK?,David Hockney,90,1,"[""Hockney"", ""David Hockney"", ""Hockney""]"
tc_725,What is Mel Gibson's middle name?,Columcille Gerard,60,1,"[""St Colm"", ""Saint Colm Cille"", ""Calum Cille"", ""Collumcille"", ""Life of St. Columba"", ""St Columcille"", ""Columba, Saint"", ""Columba"", ""St Colmcille"", ""Vita Sancti Columbae"", ""Saint Columba"", ""Vita Columbae"", ""Colmcille"", ""Colum Cille mac Fedelmtheo"", ""Columbkille"", ""St. Columcille"", ""Columba of Iona"", ""Colm Cille"", ""Colmkill"", ""Columb Cille"", ""Colmekill"", ""Saint Columb"", ""Saint Columbkille"", ""St Colum Cille"", ""St. Columba"", ""Scoto-Hibernian Monasteries"", ""Saint Colmcille"", ""Life of Columba"", ""Columbcille"", ""Saint Columcille"", ""Colum Cille"", ""Columcille"", ""St Columba"", ""Columcille""]"
tc_731,Richard Daley was mayor of which city for 21 years?,Chicago,95,1,"[""Chi-Beria"", ""Sayre language academy"", ""Chicago"", ""Chicago, Illinois"", ""Hog Butcher for the World"", ""Land of smelly onions"", ""Ariel Community Academy"", ""The weather in Chicago"", ""Chicago, Illinois, U.S.A."", ""Chicago, Illionis"", ""Near North Montessori"", ""Religion in Chicago"", ""Chicago Finance Committee"", ""The Paris of America"", ""The city of Chicago"", ""City of Chicago"", ""List of sister cities of Chicago"", ""UN/LOCODE:USCHI"", ""Chicago theatre scene"", ""Chicago, WI"", ""The City of Broad Shoulders"", ""City of Broad Shoulders"", ""Sister Cities of Chicago"", ""Chicago il"", ""Chicago, Illinois, USA"", ""Performing arts in Chicago"", ""Chicago Transportation Committee"", ""Chicago, Wisconsin"", ""City of chicago"", ""Chicago theater scene"", ""Chicago, Il"", ""Chicago, IL."", ""Chicago, Ill."", ""City of Chicago, Illinois"", ""Chi town"", ""Chicago, United States"", ""Chicago (Ill.)"", ""Transport in Chicago"", ""Chicago, Illinois, United States"", ""Chicago (IL)"", ""USCHI"", ""Chichago"", ""Chcago"", ""Chicago, Illinois, U.S."", ""Sister Cities Chicago"", ""Chicago, USA"", ""Chi City"", ""Chicago, IL"", ""Chi-Town"", ""Chicago theatre"", ""Paris of America"", ""Chicago, Illinois, US"", ""Chicago Illinois"", ""The city of Chicago, Illinois"", ""Sister cities of Chicago"", ""Chicago""]"
tc_759,"""In which movie did Garbo say, """"I want to be alone"""".""",Grand Hotel,60,1,"[""The grand hotel"", ""Grand H\u00f4tel"", ""Grand hotel"", ""The Grand Hotel"", ""Grand Hotel"", ""Grand Hotel (disambiguation)"", ""Grand Hotel""]"
tc_783,What is Osbert Lancaster best known for producing?,Cartoons,60,1,"[""Cartoonish"", ""Cartoons"", ""American cartoon"", ""Cartoon"", ""Cartoonistic"", ""Cartoonism"", ""Cartoons""]"
tc_812,Who was the defending champion when Martina Navratilova first won Wimbledon singles?,Chris Evert,60,0,"[""Virginia Wade"", ""Sarah Virginia Wade"", ""Virginia Wade""]"
tc_827,Who was the first US-born winner of golf's British Open?,Walter Hagen,60,1,"[""Walter Hagen"", ""Hagen, Walter"", ""Walter Charles Hagen"", ""Walter Hagen""]"
tc_841,In which country is the Sky Train Rail bridge?,Thailand,60,0,"[""Canada"", ""Canad\u00e1"", ""The Dominion of Canada"", ""Commonwealth of Canada"", ""Dominion of canada"", ""ISO 3166-1:CA"", ""Etymology of Canada"", ""CANADA"", ""Canadiophile"", ""Canada's"", ""\u1472\u14c7\u1455"", ""Canada/References"", ""America's top hat"", ""Canada."", ""Cnada"", ""\u010canada"", ""Canadian Federation"", ""Kenadian"", ""Canadialand"", ""Xanada"", ""Dominion of Canada"", ""Canadaa"", ""Canada""]"
tc_847,What was the Paramount Film Company originally called?,Famous Players Film Company,60,1,"[""Raleigh Studios"", ""Famous Players Film Company"", ""The Famous Players"", ""Celebrated Players Film Corporation"", ""Famous Players Film Company""]"
