类别,实验,sci,n,总分(0-100),原始总分,满分基准,d1,d2,d3,d4,d5,d6,d7,d8,前8小计,dim9_method,dim9_exp,dim9_result,dim9最终
multilingual,lasa_safety,s2,1,43.3,19.5,45.0,1.0,2.0,1.0,3.0,2.0,3.0,3.0,2.0,17.0,2.5,2.0,3.0,2.5
multilingual,lasa_safety,s3,1,24.8,11.17,45.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,10.0,1.5,1.0,1.0,1.17
multilingual,multi_lingual_reasoning,s1,1,42.0,18.92,45.0,1.0,3.0,1.0,2.0,1.0,3.0,3.0,3.0,17.0,2.5,1.25,2.0,1.92
multilingual,multi_lingual_reasoning,s2,1,39.6,17.83,45.0,1.0,3.0,2.0,2.0,3.0,2.0,2.0,1.0,16.0,2.5,1.5,1.5,1.83
multilingual,multi_lingual_reasoning,s3,1,40.7,18.33,45.0,1.0,4.0,1.0,1.0,1.0,2.0,4.0,3.0,17.0,2.25,0.75,1.0,1.33
multimodal,alignet_visual,s1,1,33.1,14.92,45.0,2.0,2.0,1.0,1.0,1.0,2.0,2.0,2.0,13.0,2.5,1.25,2.0,1.92
multimodal,alignet_visual,s2,1,46.3,20.83,45.0,1.0,2.0,2.0,4.0,2.0,3.0,3.0,1.0,18.0,3.3,2.0,3.2,2.83
multimodal,alignet_visual,s3,1,30.4,13.67,45.0,2.0,3.0,1.0,1.0,2.0,2.0,1.0,1.0,13.0,1.5,0.25,0.25,0.67
multimodal,universal_steering,s1,1,27.6,12.4,45.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,10.0,4.2,1.2,1.8,2.4
multimodal,universal_steering,s2,1,39.1,17.6,45.0,1.0,3.0,1.0,2.0,1.0,3.0,3.0,1.0,15.0,3.2,1.6,3.0,2.6
multimodal,universal_steering,s3,1,29.6,13.33,45.0,1.0,3.0,1.0,1.0,2.0,3.0,1.0,1.0,13.0,0.4,0.2,0.4,0.33
reasoning,propositional_logic_circuit,s1,1,35.6,16.0,45.0,1.0,1.0,1.0,2.0,3.0,3.0,2.0,1.0,14.0,3.0,1.25,1.75,2.0
reasoning,propositional_logic_circuit,s2,1,40.2,18.08,45.0,1.0,1.0,3.0,2.0,3.0,2.0,3.0,1.0,16.0,2.5,1.5,2.25,2.08
reasoning,propositional_logic_circuit,s3,1,24.8,11.17,45.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,10.0,1.75,0.75,1.0,1.17
reasoning,thinking_reasoning_steering,s1,1,30.5,13.73,45.0,1.0,2.0,1.0,1.0,1.0,2.0,3.0,1.0,12.0,3.0,1.2,1.0,1.73
reasoning,thinking_reasoning_steering,s2,1,34.8,15.67,45.0,1.0,3.0,1.0,2.0,1.0,2.0,2.0,1.0,13.0,4.2,1.6,2.2,2.67
reasoning,thinking_reasoning_steering,s3,1,30.5,13.73,45.0,1.0,1.0,1.0,1.0,2.0,3.0,2.0,1.0,12.0,2.6,1.4,1.2,1.73
safety,circuit_breakers,s1,1,43.0,19.33,45.0,2.0,1.0,1.0,3.0,3.0,3.0,3.0,2.0,18.0,2.0,0.75,1.25,1.33
safety,circuit_breakers,s2,1,27.2,12.25,45.0,1.0,2.0,1.0,1.0,1.0,2.0,2.0,1.0,11.0,1.75,0.75,1.25,1.25
safety,circuit_breakers,s3,1,29.8,13.42,45.0,2.0,1.0,2.0,1.0,1.0,2.0,2.0,1.0,12.0,2.0,1.0,1.25,1.42
safety,encode_harmfulness_refusal,s1,1,44.3,19.93,45.0,1.0,1.0,5.0,2.0,2.0,2.0,2.0,3.0,18.0,2.4,1.4,2.0,1.93
safety,encode_harmfulness_refusal,s2,1,56.4,25.4,45.0,3.0,2.0,5.0,3.0,3.0,2.0,3.0,2.0,23.0,3.0,1.8,2.4,2.4
safety,encode_harmfulness_refusal,s3,1,25.6,11.53,45.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,10.0,2.8,1.0,0.8,1.53
science,esmfold_mechanism,s1,1,48.1,21.67,45.0,1.0,3.0,2.0,2.0,2.0,3.0,4.0,2.0,19.0,3.33,2.0,2.67,2.67
science,esmfold_mechanism,s2,1,61.7,27.78,45.0,3.0,3.0,5.0,3.0,3.0,3.0,3.0,2.0,25.0,3.67,1.67,3.0,2.78
science,esmfold_mechanism,s3,1,26.2,11.78,45.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,10.0,2.33,1.0,2.0,1.78
science,interplm,s1,1,40.1,18.07,45.0,1.0,3.0,2.0,2.0,3.0,1.0,2.0,2.0,16.0,2.4,1.4,2.4,2.07
science,interplm,s2,1,36.1,16.27,45.0,1.0,1.0,2.0,3.0,2.0,2.0,2.0,1.0,14.0,3.6,1.0,2.2,2.27
science,interplm,s3,1,35.7,16.07,45.0,1.0,4.0,1.0,2.0,3.0,1.0,2.0,1.0,15.0,1.8,0.6,0.8,1.07
